ano,area,tipoviolencia,sexo,nocasos,poblacion,tasa
2014,Ciudad Bol?var,Intrafamiliar,Total general,2967,675471,4392
2014,Sumapaz,Intrafamiliar,Total general,173,6393,27061
2014,Distrito,Intrafamiliar,Total general,33437,7776845,430
2015,Usaqu?n,Intrafamiliar,Total general,2798,494066,5663
2015,Chapinero,Intrafamiliar,Total general,421,137870,3054
2015,Santa Fe,Intrafamiliar,Total general,637,110053,5788
2015,San Crist?bal,Intrafamiliar,Total general,2884,406025,7103
2015,Usme,Intrafamiliar,Total general,2944,432724,6803
2015,Tunjuelito,Intrafamiliar,Total general,626,200048,3129
2015,Bosa,Intrafamiliar,Total general,5225,646833,8078
2015,Kennedy,Intrafamiliar,Total general,3830,1069469,3581
2015,Fontib?n,Intrafamiliar,Total general,1232,380453,3238
2015,Engativ?,Intrafamiliar,Total general,2388,874755,273
2015,Suba,Intrafamiliar,Total general,3282,1174736,2794
2015,Barrios Unidos,Intrafamiliar,Total general,610,240960,2532
2015,Teusaquillo,Intrafamiliar,Total general,283,151092,1873
2015,Los M?rtires,Intrafamiliar,Total general,495,98758,5012
2015,Antonio Nari?o,Intrafamiliar,Total general,344,108941,3158
2015,Puente Aranda,Intrafamiliar,Total general,783,258414,303
2015,La Candelaria,Intrafamiliar,Total general,125,24096,5188
2015,Rafael Uribe Uribe,Intrafamiliar,Total general,2129,375107,5676
2015,Ciudad Bol?var,Intrafamiliar,Total general,4222,687923,6137
2015,Sumapaz,Intrafamiliar,Total general,200,6460,3096
2015,Distrito,Intrafamiliar,Total general,35458,7878783,450
2016,Usaqu?n,Intrafamiliar,Total general,2366,472908,5003
2016,Chapinero,Intrafamiliar,Total general,309,126951,2434
2016,Santa Fe,Intrafamiliar,Total general,524,96534,5428
2016,San Crist?bal,Intrafamiliar,Total general,2039,396383,5144
2016,Usme,Intrafamiliar,Total general,2468,337152,732
2016,Tunjuelito,Intrafamiliar,Total general,539,189522,2844
2016,Bosa,Intrafamiliar,Total general,4369,709039,6162
2016,Kennedy,Intrafamiliar,Total general,3410,1187315,2872
2016,Fontib?n,Intrafamiliar,Total general,1213,403519,3006
2016,Engativ?,Intrafamiliar,Total general,2003,873243,2294
2016,Suba,Intrafamiliar,Total general,2818,1250734,2253
2016,Barrios Unidos,Intrafamiliar,Total general,465,263883,1762
2016,Teusaquillo,Intrafamiliar,Total general,253,140767,1797
2016,Los M?rtires,Intrafamiliar,Total general,411,94130,4366
2016,Antonio Nari?o,Intrafamiliar,Total general,290,109277,2654
2016,Puente Aranda,Intrafamiliar,Total general,680,225220,3019
2016,La Candelaria,Intrafamiliar,Total general,105,22633,4639
2016,Rafael Uribe Uribe,Intrafamiliar,Total general,1973,353761,5577
2016,Ciudad Bol?var,Intrafamiliar,Total general,4527,719700,629
2016,Sumapaz,Intrafamiliar,Total general,135,7330,18417
2016,Distrito,Intrafamiliar,Total general,30897,7980001,3872
2017,Usaqu?n,Intrafamiliar,Total general,2007,474186,4233
2017,Chapinero,Intrafamiliar,Total general,360,126591,2844
2017,Santa Fe,Intrafamiliar,Total general,631,95201,6628
2017,San Crist?bal,Intrafamiliar,Total general,1994,394358,5056
2017,Usme,Intrafamiliar,Total general,2365,340101,6954
2017,Tunjuelito,Intrafamiliar,Total general,836,187971,4447
2017,Bosa,Intrafamiliar,Total general,3224,731047,441
2017,Kennedy,Intrafamiliar,Total general,2860,1208980,2366
2017,Fontib?n,Intrafamiliar,Total general,931,413734,225
2017,Engativ?,Intrafamiliar,Total general,2113,878434,2405
2017,Suba,Intrafamiliar,Total general,2651,1282978,2066
2017,Barrios Unidos,Intrafamiliar,Total general,423,267106,1584
2017,Teusaquillo,Intrafamiliar,Total general,245,140473,1744
2017,Los M?rtires,Intrafamiliar,Total general,501,93716,5346
2017,Antonio Nari?o,Intrafamiliar,Total general,294,109254,2691
2017,Puente Aranda,Intrafamiliar,Total general,628,221906,283
2017,La Candelaria,Intrafamiliar,Total general,100,22438,4457
2017,Rafael Uribe Uribe,Intrafamiliar,Total general,1923,350944,548
2017,Ciudad Bol?var,Intrafamiliar,Total general,4786,733859,6522
2017,Sumapaz,Intrafamiliar,Total general,66,7457,8851
2017,Distrito,Intrafamiliar,Total general,28938,8080734,3581
2018,Usaqu?n,Intrafamiliar,Total general,1398,475275,2941
2018,Chapinero,Intrafamiliar,Total general,401,126192,3178
2018,Santa Fe,Intrafamiliar,Total general,713,93857,7597
2018,San Crist?bal,Intrafamiliar,Total general,2177,392220,555
2018,Usme,Intrafamiliar,Total general,2504,342940,7302
2018,Tunjuelito,Intrafamiliar,Total general,821,186383,4405
2018,Bosa,Intrafamiliar,Total general,3488,753496,4629
2018,Kennedy,Intrafamiliar,Total general,3234,1230539,2628
2018,Fontib?n,Intrafamiliar,Total general,857,424038,2021
2018,Engativ?,Intrafamiliar,Total general,2180,883319,2468
2018,Suba,Intrafamiliar,Total general,3173,1315509,2412
2018,Barrios Unidos,Intrafamiliar,Total general,428,270280,1584
2018,Teusaquillo,Intrafamiliar,Total general,326,140135,2326
2018,Los M?rtires,Intrafamiliar,Total general,504,93248,5405
2018,Antonio Nari?o,Intrafamiliar,Total general,344,109199,315
2018,Puente Aranda,Intrafamiliar,Total general,687,218555,3143
2018,La Candelaria,Intrafamiliar,Total general,109,22243,490
2018,Rafael Uribe Uribe,Intrafamiliar,Total general,2199,348023,6319
2018,Ciudad Bol?var,Intrafamiliar,Total general,5011,748012,6699
2018,Sumapaz,Intrafamiliar,Total general,111,7584,14636
2018,Distrito,Intrafamiliar,Total general,30665,8181047,3748
2019,Usaqu?n,Intrafamiliar,Total general,1130,476184,2373
2019,Chapinero,Intrafamiliar,Total general,380,125750,3022
2019,Santa Fe,Intrafamiliar,Total general,862,92490,932
2019,San Crist?bal,Intrafamiliar,Total general,2899,389945,7434
2019,Usme,Intrafamiliar,Total general,2367,345689,6847
2019,Tunjuelito,Intrafamiliar,Total general,881,184743,4769
2019,Bosa,Intrafamiliar,Total general,4149,776363,5344
2019,Kennedy,Intrafamiliar,Total general,4163,1252014,3325
2019,Fontib?n,Intrafamiliar,Total general,989,434446,2276
2019,Engativ?,Intrafamiliar,Total general,2232,887886,2514
2019,Suba,Intrafamiliar,Total general,3013,1348372,2235
2019,Barrios Unidos,Intrafamiliar,Total general,352,273396,1288
2019,Teusaquillo,Intrafamiliar,Total general,403,139776,2883
2019,Los M?rtires,Intrafamiliar,Total general,715,92755,7708
2019,Antonio Nari?o,Intrafamiliar,Total general,436,109104,3996
2019,Puente Aranda,Intrafamiliar,Total general,909,215191,4224
2019,La Candelaria,Intrafamiliar,Total general,136,22041,617
2019,Rafael Uribe Uribe,Intrafamiliar,Total general,2466,344990,7148
2019,Ciudad Bol?var,Intrafamiliar,Total general,4330,762184,5681
2019,Sumapaz,Intrafamiliar,Total general,65,7711,843
2019,Distrito,Intrafamiliar,Total general,32877,8281030,397
2020,Usaqu?n,Intrafamiliar,Total general,951,476931,1994
2020,Chapinero,Intrafamiliar,Total general,255,125294,2035
2020,Santa Fe,Intrafamiliar,Total general,542,91111,5949
2020,San Crist?bal,Intrafamiliar,Total general,1619,387560,4177
2020,Usme,Intrafamiliar,Total general,2192,348332,6293
2020,Tunjuelito,Intrafamiliar,Total general,851,183067,4649
2020,Bosa,Intrafamiliar,Total general,3512,799660,4392
2020,Kennedy,Intrafamiliar,Total general,3531,1273390,2773
2020,Fontib?n,Intrafamiliar,Total general,994,444951,2234
2020,Engativ?,Intrafamiliar,Total general,1724,892169,1932
2020,Suba,Intrafamiliar,Total general,2460,1381597,1781
2020,Barrios Unidos,Intrafamiliar,Total general,306,276453,1107
2020,Teusaquillo,Intrafamiliar,Total general,315,139369,226
2020,Los M?rtires,Intrafamiliar,Total general,369,92234,4001
2020,Antonio Nari?o,Intrafamiliar,Total general,283,108976,2597
2020,Puente Aranda,Intrafamiliar,Total general,678,211802,3201
2020,La Candelaria,Intrafamiliar,Total general,92,21830,4214
2020,Rafael Uribe Uribe,Intrafamiliar,Total general,1471,341886,4303
2020,Ciudad Bol?var,Intrafamiliar,Total general,3666,776351,4722
2020,Sumapaz,Intrafamiliar,Total general,79,7838,10079
2020,Distrito,Intrafamiliar,Total general,25892,8380801,3089
2012,Usaqu?n,Intrafamiliar,Mujer,1264,257499,4909
2012,Chapinero,Intrafamiliar,Mujer,180,72365,2487
2012,Santa Fe,Intrafamiliar,Mujer,450,54802,8211
2012,San Crist?bal,Intrafamiliar,Mujer,1436,209691,6848
2012,Usme,Intrafamiliar,Mujer,1688,202775,8324
2012,Tunjuelito,Intrafamiliar,Mujer,334,102036,3273
2012,Bosa,Intrafamiliar,Mujer,2653,305346,8689
2012,Kennedy,Intrafamiliar,Mujer,1738,528336,329
2012,Fontib?n,Intrafamiliar,Mujer,637,186326,3419
2012,Engativ?,Intrafamiliar,Mujer,1764,444702,3967
2012,Suba,Intrafamiliar,Mujer,1884,575528,3274
2012,Barrios Unidos,Intrafamiliar,Mujer,262,122245,2143
2012,Teusaquillo,Intrafamiliar,Mujer,120,79389,1512
2012,Los M?rtires,Intrafamiliar,Mujer,315,48932,6438
2012,Antonio Nari?o,Intrafamiliar,Mujer,190,55877,340
2012,Puente Aranda,Intrafamiliar,Mujer,407,132268,3077
2012,La Candelaria,Intrafamiliar,Mujer,65,11434,5685
2012,Rafael Uribe Uribe,Intrafamiliar,Mujer,1262,192321,6562
2012,Ciudad Bol?var,Intrafamiliar,Mujer,1745,332577,5247
2012,Sumapaz,Intrafamiliar,Mujer,103,3028,34016
2012,Distrito,Intrafamiliar,Mujer,18969,3917477,4842
2013,Usaqu?n,Intrafamiliar,Mujer,1620,259965,6232
2013,Chapinero,Intrafamiliar,Mujer,218,72827,2993
2013,Santa Fe,Intrafamiliar,Mujer,359,54763,6556
2013,San Crist?bal,Intrafamiliar,Mujer,1738,209171,8309
2013,Usme,Intrafamiliar,Mujer,1917,210312,9115
2013,Tunjuelito,Intrafamiliar,Mujer,446,101726,4384
2013,Bosa,Intrafamiliar,Mujer,3141,313146,1003
2013,Kennedy,Intrafamiliar,Mujer,1915,533792,3588
2013,Fontib?n,Intrafamiliar,Mujer,654,190687,343
2013,Engativ?,Intrafamiliar,Mujer,1886,448349,4207
2013,Suba,Intrafamiliar,Mujer,1993,588730,3385
2013,Barrios Unidos,Intrafamiliar,Mujer,310,123007,252
2013,Teusaquillo,Intrafamiliar,Mujer,134,79926,1677
2013,Los M?rtires,Intrafamiliar,Mujer,307,48930,6274
2013,Antonio Nari?o,Intrafamiliar,Mujer,204,55868,3651
2013,Puente Aranda,Intrafamiliar,Mujer,391,132077,296
2013,La Candelaria,Intrafamiliar,Mujer,56,11401,4912
2013,Rafael Uribe Uribe,Intrafamiliar,Mujer,1077,191833,5614
2013,Ciudad Bol?var,Intrafamiliar,Mujer,1683,338640,497
2013,Sumapaz,Intrafamiliar,Mujer,114,3051,37365
2013,Distrito,Intrafamiliar,Mujer,20163,3968201,5081
2014,Usaqu?n,Intrafamiliar,Mujer,1847,262455,7037
2014,Chapinero,Intrafamiliar,Mujer,244,73117,3337
2014,Santa Fe,Intrafamiliar,Mujer,413,54687,7552
2014,San Crist?bal,Intrafamiliar,Mujer,2134,208492,10235
2014,Usme,Intrafamiliar,Mujer,2215,215866,10261
2014,Tunjuelito,Intrafamiliar,Mujer,531,101314,5241
2014,Bosa,Intrafamiliar,Mujer,3561,321466,11077
2014,Kennedy,Intrafamiliar,Mujer,2362,540134,4373
2014,Fontib?n,Intrafamiliar,Mujer,947,195308,4849
2014,Engativ?,Intrafamiliar,Mujer,1693,452053,3745
2014,Suba,Intrafamiliar,Mujer,2210,602531,3668
2014,Barrios Unidos,Intrafamiliar,Mujer,436,123939,3518
2014,Teusaquillo,Intrafamiliar,Mujer,136,80340,1693
2014,Los M?rtires,Intrafamiliar,Mujer,315,48925,6438
2014,Antonio Nari?o,Intrafamiliar,Mujer,278,55855,4977
2014,Puente Aranda,Intrafamiliar,Mujer,437,131737,3317
2014,La Candelaria,Intrafamiliar,Mujer,69,11356,6076
2014,Rafael Uribe Uribe,Intrafamiliar,Mujer,1250,191162,6539
2014,Ciudad Bol?var,Intrafamiliar,Mujer,2130,344806,6177
2014,Sumapaz,Intrafamiliar,Mujer,103,3078,33463
2014,Distrito,Intrafamiliar,Mujer,23311,4018621,5801
2015,Usaqu?n,Intrafamiliar,Mujer,1906,264972,7193
2015,Chapinero,Intrafamiliar,Mujer,263,73185,3594
2015,Santa Fe,Intrafamiliar,Mujer,460,54564,843
2015,San Crist?bal,Intrafamiliar,Mujer,2028,207629,9767
2015,Usme,Intrafamiliar,Mujer,2149,218685,9827
2015,Tunjuelito,Intrafamiliar,Mujer,453,100779,4495
2015,Bosa,Intrafamiliar,Mujer,3681,330490,11138
2015,Kennedy,Intrafamiliar,Mujer,2756,547703,5032
2015,Fontib?n,Intrafamiliar,Mujer,910,200279,4544
2015,Engativ?,Intrafamiliar,Mujer,1634,455865,3584
2015,Suba,Intrafamiliar,Mujer,2350,617148,3808
2015,Barrios Unidos,Intrafamiliar,Mujer,400,125105,3197
2015,Teusaquillo,Intrafamiliar,Mujer,192,80595,2382
2015,Los M?rtires,Intrafamiliar,Mujer,385,48918,787
2015,Antonio Nari?o,Intrafamiliar,Mujer,248,55838,4441
2015,Puente Aranda,Intrafamiliar,Mujer,538,131210,410
2015,La Candelaria,Intrafamiliar,Mujer,96,11297,8498
2015,Rafael Uribe Uribe,Intrafamiliar,Mujer,1513,190270,7952
2015,Ciudad Bol?var,Intrafamiliar,Mujer,2961,351127,8433
2015,Sumapaz,Intrafamiliar,Mujer,119,3111,38251
2015,Distrito,Intrafamiliar,Mujer,25042,4068770,6155
2016,Usaqu?n,Intrafamiliar,Mujer,1632,253449,6439
2016,Chapinero,Intrafamiliar,Mujer,185,66449,2784
2016,Santa Fe,Intrafamiliar,Mujer,381,47832,7965
2016,San Crist?bal,Intrafamiliar,Mujer,1427,203869,700
2016,Usme,Intrafamiliar,Mujer,1763,172215,10237
2016,Tunjuelito,Intrafamiliar,Mujer,396,95683,4139
2016,Bosa,Intrafamiliar,Mujer,3187,363363,8771
2016,Kennedy,Intrafamiliar,Mujer,2524,608338,4149
2016,Fontib?n,Intrafamiliar,Mujer,889,213035,4173
2016,Engativ?,Intrafamiliar,Mujer,1401,453981,3086
2016,Suba,Intrafamiliar,Mujer,2045,655577,3119
2016,Barrios Unidos,Intrafamiliar,Mujer,317,131616,2409
2016,Teusaquillo,Intrafamiliar,Mujer,180,74145,2428
2016,Los M?rtires,Intrafamiliar,Mujer,292,46543,6274
2016,Antonio Nari?o,Intrafamiliar,Mujer,195,55664,3503
2016,Puente Aranda,Intrafamiliar,Mujer,496,113322,4377
2016,La Candelaria,Intrafamiliar,Mujer,78,10516,7417
2016,Rafael Uribe Uribe,Intrafamiliar,Mujer,1340,180846,741
2016,Ciudad Bol?var,Intrafamiliar,Mujer,3269,368367,8874
2016,Sumapaz,Intrafamiliar,Mujer,69,3565,19355
2016,Distrito,Intrafamiliar,Mujer,22078,4118375,5361
2017,Usaqu?n,Intrafamiliar,Mujer,1355,253926,5336
2017,Chapinero,Intrafamiliar,Mujer,253,66033,3831
2017,Santa Fe,Intrafamiliar,Mujer,444,47135,942
2017,San Crist?bal,Intrafamiliar,Mujer,1362,202823,6715
2017,Usme,Intrafamiliar,Mujer,1585,173754,9122
2017,Tunjuelito,Intrafamiliar,Mujer,591,94819,6233
2017,Bosa,Intrafamiliar,Mujer,2323,374723,6199
2017,Kennedy,Intrafamiliar,Mujer,2025,619048,3271
2017,Fontib?n,Intrafamiliar,Mujer,704,218479,3222
2017,Engativ?,Intrafamiliar,Mujer,1503,456270,3294
2017,Suba,Intrafamiliar,Mujer,1883,671995,2802
2017,Barrios Unidos,Intrafamiliar,Mujer,277,132736,2087
2017,Teusaquillo,Intrafamiliar,Mujer,167,73810,2263
2017,Los M?rtires,Intrafamiliar,Mujer,351,46240,7591
2017,Antonio Nari?o,Intrafamiliar,Mujer,219,55552,3942
2017,Puente Aranda,Intrafamiliar,Mujer,466,111422,4182
2017,La Candelaria,Intrafamiliar,Mujer,74,10393,712
2017,Rafael Uribe Uribe,Intrafamiliar,Mujer,1333,179322,7434
2017,Ciudad Bol?var,Intrafamiliar,Mujer,3317,375711,8829
2017,Sumapaz,Intrafamiliar,Mujer,37,3630,10193
2017,Distrito,Intrafamiliar,Mujer,20280,4167821,4866
2018,Usaqu?n,Intrafamiliar,Mujer,966,254310,3799
2018,Chapinero,Intrafamiliar,Mujer,294,65600,4482
2018,Santa Fe,Intrafamiliar,Mujer,524,46438,11284
2018,San Crist?bal,Intrafamiliar,Mujer,1544,201727,7654
2018,Usme,Intrafamiliar,Mujer,1713,175249,9775
2018,Tunjuelito,Intrafamiliar,Mujer,558,93941,594
2018,Bosa,Intrafamiliar,Mujer,2561,386336,6629
2018,Kennedy,Intrafamiliar,Mujer,2363,629715,3752
2018,Fontib?n,Intrafamiliar,Mujer,653,223980,2915
2018,Engativ?,Intrafamiliar,Mujer,1519,458421,3314
2018,Suba,Intrafamiliar,Mujer,2314,688555,3361
2018,Barrios Unidos,Intrafamiliar,Mujer,297,133823,2219
2018,Teusaquillo,Intrafamiliar,Mujer,252,73454,3431
2018,Los M?rtires,Intrafamiliar,Mujer,381,45901,830
2018,Antonio Nari?o,Intrafamiliar,Mujer,250,55427,451
2018,Puente Aranda,Intrafamiliar,Mujer,515,109526,4702
2018,La Candelaria,Intrafamiliar,Mujer,85,10270,8277
2018,Rafael Uribe Uribe,Intrafamiliar,Mujer,1532,177753,8619
2018,Ciudad Bol?var,Intrafamiliar,Mujer,3403,383066,8884
2018,Sumapaz,Intrafamiliar,Mujer,71,3706,19158
2018,Distrito,Intrafamiliar,Mujer,21830,4217198,5176
2019,Usaqu?n,Intrafamiliar,Mujer,782,254608,3071
2019,Chapinero,Intrafamiliar,Mujer,272,65158,4174
2019,Santa Fe,Intrafamiliar,Mujer,572,45727,12509
2019,San Crist?bal,Intrafamiliar,Mujer,1957,200567,9757
2019,Usme,Intrafamiliar,Mujer,1723,176700,9751
2019,Tunjuelito,Intrafamiliar,Mujer,645,93048,6932
2019,Bosa,Intrafamiliar,Mujer,3117,398177,7828
2019,Kennedy,Intrafamiliar,Mujer,3027,640355,4727
2019,Fontib?n,Intrafamiliar,Mujer,721,229543,3141
2019,Engativ?,Intrafamiliar,Mujer,1586,460416,3445
2019,Suba,Intrafamiliar,Mujer,2086,705329,2957
2019,Barrios Unidos,Intrafamiliar,Mujer,239,134893,1772
2019,Teusaquillo,Intrafamiliar,Mujer,302,73092,4132
2019,Los M?rtires,Intrafamiliar,Mujer,470,45566,10315
2019,Antonio Nari?o,Intrafamiliar,Mujer,307,55281,5553
2019,Puente Aranda,Intrafamiliar,Mujer,667,107629,6197
2019,La Candelaria,Intrafamiliar,Mujer,91,10150,8966
2019,Rafael Uribe Uribe,Intrafamiliar,Mujer,1702,176132,9663
2019,Ciudad Bol?var,Intrafamiliar,Mujer,3125,390452,8004
2019,Sumapaz,Intrafamiliar,Mujer,38,3772,10074
2019,Distrito,Intrafamiliar,Mujer,23429,4266595,5491
2020,Usaqu?n,Intrafamiliar,Mujer,678,254841,266
2020,Chapinero,Intrafamiliar,Mujer,173,64711,2673
2020,Santa Fe,Intrafamiliar,Mujer,404,45019,8974
2020,San Crist?bal,Intrafamiliar,Mujer,1196,199363,5999
2020,Usme,Intrafamiliar,Mujer,1540,178104,8647
2020,Tunjuelito,Intrafamiliar,Mujer,589,92144,6392
2020,Bosa,Intrafamiliar,Mujer,2648,410260,6454
2020,Kennedy,Intrafamiliar,Mujer,2605,650969,4002
2020,Fontib?n,Intrafamiliar,Mujer,719,235174,3057
2020,Engativ?,Intrafamiliar,Mujer,1239,462301,268
2020,Suba,Intrafamiliar,Mujer,1850,722309,2561
2020,Barrios Unidos,Intrafamiliar,Mujer,222,135929,1633
2020,Teusaquillo,Intrafamiliar,Mujer,227,72718,3122
2020,Los M?rtires,Intrafamiliar,Mujer,279,45219,617
2020,Antonio Nari?o,Intrafamiliar,Mujer,211,55133,3827
2020,Puente Aranda,Intrafamiliar,Mujer,516,105742,488
2020,La Candelaria,Intrafamiliar,Mujer,60,10021,5987
2020,Rafael Uribe Uribe,Intrafamiliar,Mujer,1101,174494,631
2020,Ciudad Bol?var,Intrafamiliar,Mujer,2621,397847,6588
2020,Sumapaz,Intrafamiliar,Mujer,59,3844,15349
2020,Distrito,Intrafamiliar,Mujer,18938,4316142,4388
2012,Usaqu?n,Intrafamiliar,Hombre ,778,222331,3499
2012,Chapinero,Intrafamiliar,Hombre ,76,62795,121
2012,Santa Fe,Intrafamiliar,Hombre ,201,55153,3644
2012,San Crist?bal,Intrafamiliar,Hombre ,737,199566,3693
2012,Usme,Intrafamiliar,Hombre ,820,197911,4143
2012,Tunjuelito,Intrafamiliar,Hombre ,204,99557,2049
2012,Bosa,Intrafamiliar,Hombre ,1621,292176,5548
2012,Kennedy,Intrafamiliar,Hombre ,903,502287,1798
2012,Fontib?n,Intrafamiliar,Hombre ,335,167533,200
2012,Engativ?,Intrafamiliar,Hombre ,1103,406597,2713
2012,Suba,Intrafamiliar,Hombre ,944,518960,1819
2012,Barrios Unidos,Intrafamiliar,Hombre ,116,112703,1029
2012,Teusaquillo,Intrafamiliar,Hombre ,57,68544,832
2012,Los M?rtires,Intrafamiliar,Hombre ,156,49277,3166
2012,Antonio Nari?o,Intrafamiliar,Hombre ,91,52580,1731
2012,Puente Aranda,Intrafamiliar,Hombre ,233,125944,185
2012,La Candelaria,Intrafamiliar,Hombre ,30,12726,2357
2012,Rafael Uribe Uribe,Intrafamiliar,Hombre ,600,184951,3244
2012,Ciudad Bol?var,Intrafamiliar,Hombre ,1142,319009,358
2012,Sumapaz,Intrafamiliar,Hombre ,67,3268,20502
2012,Distrito,Intrafamiliar,Hombre ,10410,3653868,2849
2013,Usaqu?n,Intrafamiliar,Hombre ,989,224799,4399
2013,Chapinero,Intrafamiliar,Hombre ,73,63525,1149
2013,Santa Fe,Intrafamiliar,Hombre ,147,55182,2664
2013,San Crist?bal,Intrafamiliar,Hombre ,874,199306,4385
2013,Usme,Intrafamiliar,Hombre ,883,205586,4295
2013,Tunjuelito,Intrafamiliar,Hombre ,230,99504,2311
2013,Bosa,Intrafamiliar,Hombre ,1588,299608,530
2013,Kennedy,Intrafamiliar,Hombre ,757,508288,1489
2013,Fontib?n,Intrafamiliar,Hombre ,290,171480,1691
2013,Engativ?,Intrafamiliar,Hombre ,1064,410586,2591
2013,Suba,Intrafamiliar,Hombre ,857,531612,1612
2013,Barrios Unidos,Intrafamiliar,Hombre ,147,113426,1296
2013,Teusaquillo,Intrafamiliar,Hombre ,57,69240,823
2013,Los M?rtires,Intrafamiliar,Hombre ,128,49520,2585
2013,Antonio Nari?o,Intrafamiliar,Hombre ,93,52739,1763
2013,Puente Aranda,Intrafamiliar,Hombre ,221,126025,1754
2013,La Candelaria,Intrafamiliar,Hombre ,25,12759,1959
2013,Rafael Uribe Uribe,Intrafamiliar,Hombre ,563,184934,3044
2013,Ciudad Bol?var,Intrafamiliar,Hombre ,865,324757,2664
2013,Sumapaz,Intrafamiliar,Hombre ,79,3289,24019
2013,Distrito,Intrafamiliar,Hombre ,9930,3706165,2679
2014,Usaqu?n,Intrafamiliar,Hombre ,913,227071,4021
2014,Chapinero,Intrafamiliar,Hombre ,90,64164,1403
2014,Santa Fe,Intrafamiliar,Hombre ,206,55287,3726
2014,San Crist?bal,Intrafamiliar,Hombre ,941,198924,473
2014,Usme,Intrafamiliar,Hombre ,890,211224,4214
2014,Tunjuelito,Intrafamiliar,Hombre ,207,99411,2082
2014,Bosa,Intrafamiliar,Hombre ,1682,307600,5468
2014,Kennedy,Intrafamiliar,Hombre ,925,514716,1797
2014,Fontib?n,Intrafamiliar,Hombre ,388,175668,2209
